      Step     Time          Energy         fmax
BFGS:    0 19:07:40      -52.040584       24.7125
BFGS:    1 19:22:03      -55.658041        9.9179
BFGS:    2 19:37:00      -57.189602        3.8935
BFGS:    3 19:50:46      -57.850850        1.3320
BFGS:    4 20:06:52      -58.028790        0.8724
BFGS:    5 20:19:55      -58.067431        0.7881
BFGS:    6 20:31:59      -58.106287        0.6939
BFGS:    7 20:43:51      -58.154930        0.5458
BFGS:    8 20:55:32      -58.175346        0.4040
BFGS:    9 21:09:13      -58.169823        0.3220
BFGS:   10 21:21:43      -58.164558        0.3469
BFGS:   11 21:33:56      -58.168265        0.2597
BFGS:   12 21:45:17      -58.179445        0.1871
BFGS:   13 21:54:08      -58.190702        0.1466
BFGS:   14 22:03:22      -58.198867        0.1465
BFGS:   15 22:13:18      -58.205463        0.1309
BFGS:   16 22:24:32      -58.205576        0.1300
BFGS:   17 22:33:38      -58.195891        0.1457
BFGS:   18 22:42:46      -58.183016        0.1177
BFGS:   19 22:52:46      -58.174807        0.1136
BFGS:   20 23:01:12      -58.175302        0.0678
